,Stress
771,10.0
240,8.0
757,19.0
900,10.0
402,10.0
305,9.0
361,12.0
943,10.0
544,8.0
714,21.0
426,9.0
505,10.0
71,11.0
670,8.0
259,9.0
51,8.0
620,10.0
238,8.0
504,10.0
332,6.0
326,9.0
765,17.0
324,10.0
701,12.0
879,6.0
487,9.0
483,7.0
609,8.0
382,7.0
861,6.0
904,10.0
924,6.0
518,13.0
242,6.0
526,9.0
192,7.0
567,8.0
721,18.0
327,9.0
838,7.0
979,11.0
84,15.0
